nc,ps,unique,redundant,agi,symbol,description,cor262909,cor256629,cor259408,cor259407,cor265857s,average,
5,264119_at,T,F,AT1G79180,ATMYB63|MYB63,myb domain protein 63,0.618178061,0.648470756,0.674962855,0.517106244,0.541850106,0.600113604,
5,264348_at,T,F,AT1G12110,NRT1|ATNRT1|B-1|NRT1.1|CHL1|CHL1-1,nitrate transporter 1.1,0.535956113,0.590628999,0.528641204,0.507527506,0.798264943,0.592203753,
5,264537_at,T,F,AT1G55610,BRL1,BRI1 like,0.543189338,0.628462392,0.661039725,0.508993484,0.641685277,0.596674043,
5,265849_at,T,F,AT2G35736,AT2G35736,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G25225.1); Has 78 Blast hits to 78 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 78; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.600476322,0.630012657,0.559718392,0.524402916,0.650299127,0.592981883,
5,266021_at,T,F,AT2G05910,AT2G05910,Protein of unknown function (DUF567),0.553379155,0.551539713,0.651765064,0.551200404,0.557543129,0.573085493,
5,266086_at,T,F,AT2G38060,PHT4;2,phosphate transporter 4;2,0.584880905,0.514969322,0.574019818,0.598569623,0.542307876,0.562949509,
5,266184_s_at,F,NA,AT2G38940,PHT1;4|ATPT2,phosphate transporter 1;4,0.648955944,0.593044133,0.5627236,0.526526854,0.663922594,0.599034625,
5,266988_at,T,F,AT2G39310,JAL22,jacalin-related lectin 22,0.509836441,0.56494847,0.51867868,0.5059212,0.718229322,0.563522823,
4,244981_at,T,F,ATCG00770,RPS8,ribosomal protein S8,0.506218134,0.766060217,0.772291412,0.329879014,0.707339799,0.616357715,
4,244984_at,T,F,ATCG00800,ATCG00800,structural constituent of ribosome,0.537503401,0.797696492,0.847036856,0.344699658,0.547604406,0.614908162,
4,244986_at,T,F,ATCG00820,RPS19,ribosomal protein S19,0.534008633,0.747076312,0.774265999,0.317172163,0.682274741,0.61095957,
4,244993_s_at,F,NA,ATCG01000,YCF1.1,Ycf1 protein,0.548366577,0.796147028,0.847965147,0.34704484,0.563205743,0.620545867,
4,245029_at,T,F,AT2G26580,YAB5,plant-specific transcription factor YABBY family protein,0.513440716,0.738855281,0.73329164,0.295155631,0.69299343,0.59474734,
4,245098_at,T,F,AT2G40940,ERS1|ERS,ethylene response sensor 1,0.581043107,0.475202714,0.50108168,0.530499316,0.622660514,0.542097466,
4,245107_at,T,F,AT2G41690,HSFB3|AT-HSFB3,heat shock transcription factor B3,0.616368347,0.536925498,0.550648892,0.427111673,0.62240957,0.550692796,
4,245119_at,T,F,AT2G41640,AT2G41640,Glycosyltransferase family 61 protein,0.474171017,0.625195016,0.510715934,0.501944703,0.578183773,0.538042089,
4,245148_at,T,F,AT2G45220,AT2G45220,Plant invertase/pectin methylesterase inhibitor superfamily,0.587427412,0.675220482,0.701415855,0.417886771,0.562739491,0.588938002,
4,245179_at,NA,NA,NA,NA,NA,0.621444901,0.676360369,0.67823683,0.413512059,0.555619433,0.589034718,
4,245181_at,T,F,AT5G12420,AT5G12420,O-acyltransferase (WSD1-like) family protein,0.526783342,0.628444192,0.600963249,0.366147516,0.690452929,0.562558246,
4,245204_at,T,F,AT5G12270,AT5G12270,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,0.521459206,0.61473061,0.574387477,0.132208817,0.657452121,0.500047646,
4,245208_at,T,F,AT5G12330,LRP1,Lateral root primordium (LRP) protein-related,0.504160517,0.633792082,0.617617822,0.419967724,0.747648502,0.584637329,
4,245227_s_at,T,F,AT1G08410,AT1G08410,P-loop containing nucleoside triphosphate hydrolases superfamily protein,0.532540862,0.63104736,0.62314995,0.160265897,0.522105816,0.493821977,
4,245267_at,T,F,AT4G14060,AT4G14060,Polyketide cyclase/dehydrase and lipid transport superfamily protein,0.498519847,0.571568032,0.64355344,0.548833602,0.61222938,0.57494086,
4,245292_at,T,F,AT4G15093,AT4G15093,catalytic LigB subunit of aromatic ring-opening dioxygenase family,0.504140629,0.704627832,0.709473336,0.38076209,0.722329015,0.60426658,
4,245305_at,T,F,AT4G17215,AT4G17215,Pollen Ole e 1 allergen and extensin family protein,0.527909863,0.671715946,0.622506546,0.374988282,0.728855267,0.585195181,
4,245317_at,T,F,AT4G15610,AT4G15610,Uncharacterised protein family (UPF0497),0.55083786,0.721684977,0.738007411,0.399564621,0.62145452,0.606309878,
4,245331_at,T,F,AT4G14410,bHLH104,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,0.500596172,0.572227258,0.593246069,0.42961488,0.669573872,0.55305165,
4,245333_at,T,F,AT4G14615,AT4G14615,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2346 (InterPro:IPR018625); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G52825.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.57059697,0.685103497,0.700690657,0.38180492,0.59917233,0.587473675,
4,245353_at,T,F,AT4G16000,AT4G16000,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G15990.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.578106967,0.594129584,0.506363318,0.404866456,0.640920011,0.544877267,
4,245398_at,T,F,AT4G14900,AT4G14900,FRIGIDA-like protein,0.539128279,0.66294757,0.599169625,0.461514952,0.744564122,0.601464909,
4,245401_at,T,F,AT4G17670,AT4G17670,Protein of unknown function (DUF581),0.517632932,0.680874216,0.722001064,0.331203906,0.633454888,0.577033401,
4,245423_at,T,F,AT4G17483,AT4G17483,alpha/beta-Hydrolases superfamily protein,0.525294125,0.425280093,0.530867506,0.562031452,0.505150929,0.509724821,
4,245448_at,T,F,AT4G16860,RPP4,Disease resistance protein (TIR-NBS-LRR class) family,0.512408415,0.738015959,0.743854112,0.364891914,0.722347463,0.616303573,
4,245449_at,T,F,AT4G16870,AT4G16870,"copia-like retrotransposon family, has a 0. P-value blast match to dbj|BAA78426.1| polyprotein (AtRE2-1) (Arabidopsis thaliana) (Ty1_Copia-element)",0.55531091,0.760923143,0.710633295,0.339464906,0.743410313,0.621948513,
4,245450_at,NA,NA,NA,NA,NA,0.507640882,0.814743196,0.792747051,0.292721666,0.600497318,0.601670023,
4,245456_at,T,F,AT4G16950,RPP5,Disease resistance protein (TIR-NBS-LRR class) family,0.556869919,0.68185521,0.715010497,0.388754539,0.688971471,0.606292327,
4,245563_at,T,F,AT4G14580,CIPK4|SnRK3.3,CBL-interacting protein kinase 4,0.524936328,0.766545826,0.807576646,0.306518173,0.649651543,0.611045704,
4,245577_at,T,F,AT4G14780,AT4G14780,Protein kinase superfamily protein,0.424731208,0.547666127,0.511291579,0.599139414,0.708635632,0.558292792,
4,245632_at,T,F,AT1G25290,ATRBL10|RBL10,RHOMBOID-like protein 10,0.513945282,0.770371294,0.719758254,0.348591591,0.762528521,0.623038988,
4,245742_at,T,F,AT1G44170,ALDH4|ALDH3H1,aldehyde dehydrogenase 3H1,0.52679512,0.661831672,0.762022355,0.353666921,0.625537522,0.585970718,
4,245743_at,T,F,AT1G51080,AT1G51080,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 15 plant structures; EXPRESSED DURING: 11 growth stages; Has 101 Blast hits to 98 proteins in 44 species: Archae - 0; Bacteria - 0; Metazoa - 38; Fungi - 10; Plants - 27; Viruses - 0; Other Eukaryotes - 26 (source: NCBI BLink).,0.520696139,0.819312458,0.762880486,0.329366348,0.640361284,0.614523343,
4,245774_at,T,F,AT1G30210,ATTCP24|TCP24,"TEOSINTE BRANCHED 1, cycloidea, and PCF family 24",0.534159634,0.679825961,0.603702525,0.452606701,0.722119405,0.598482845,
4,245789_at,T,F,AT1G32090,AT1G32090,early-responsive to dehydration stress protein (ERD4),0.5053721,0.462565532,0.566268885,0.549994405,0.515463534,0.519932891,
4,245845_at,T,F,AT1G26150,PERK10|ATPERK10,proline-rich extensin-like receptor kinase 10,0.544843971,0.800368897,0.805147059,0.269853843,0.658566256,0.615756005,
4,245851_at,T,T,AT5G13530,KEG,protein kinases;ubiquitin-protein ligases,0.585980143,0.723395393,0.80553911,0.342645516,0.58745738,0.609003508,
4,245889_at,T,F,AT5G09480,AT5G09480,hydroxyproline-rich glycoprotein family protein,0.515203034,0.642935895,0.61216183,0.421796733,0.761787057,0.59077691,
4,245933_at,T,F,AT5G09320,VPS9B,Vacuolar sorting protein 9 (VPS9) domain,0.509066735,0.747108198,0.793811692,0.285558491,0.653391845,0.597787392,
4,245951_at,T,F,AT5G19550,AAT2|ASP2,aspartate aminotransferase 2,0.524415572,0.625111574,0.627469515,0.420944791,0.642772656,0.568142822,
4,245976_at,T,F,AT5G13080,WRKY75|ATWRKY75,WRKY DNA-binding protein 75,0.55319328,0.752093425,0.728346411,0.364352887,0.670025976,0.613602396,
4,245988_at,T,F,AT5G20610,AT5G20610,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G26160.1); Has 918 Blast hits to 759 proteins in 180 species: Archae - 6; Bacteria - 105; Metazoa - 264; Fungi - 89; Plants - 167; Viruses - 5; Other Eukaryotes - 282 (source: NCBI BLink).,0.573544923,0.730344139,0.80303443,0.232868946,0.558199089,0.579598306,
4,246006_at,T,F,AT5G08290,YLS8,"mRNA splicing factor, thioredoxin-like U5 snRNP",0.554324722,0.523543124,0.617647199,0.43339167,0.67306493,0.560394329,
4,246033_at,T,F,AT5G08280,HEMC,hydroxymethylbilane synthase,0.504810456,0.805112252,0.836172738,0.297589242,0.637700271,0.616276992,
4,246044_at,T,F,AT5G19450,CPK8|CDPK19,calcium-dependent protein kinase 19,0.570982519,0.772996507,0.805291448,0.331688339,0.563169148,0.608825592,
4,246197_at,T,F,AT4G37010,CEN2,centrin 2,0.50038501,0.728617821,0.67803854,0.375254227,0.722069926,0.600873105,
4,246201_at,T,F,AT4G36750,AT4G36750,Quinone reductase family protein,0.521874815,0.713008746,0.634150034,0.346338973,0.667370027,0.576548519,
4,246389_at,T,F,AT1G77380,ATAAP3|AAP3,amino acid permease 3,0.559075453,0.521089556,0.522538892,0.440009539,0.559588954,0.520460479,
4,246426_at,T,F,AT5G17430,BBM,Integrase-type DNA-binding superfamily protein,0.515599048,0.564859385,0.58779632,0.362442203,0.666526114,0.539444614,
4,246440_at,T,F,AT5G17650,AT5G17650,glycine/proline-rich protein,0.532357353,0.673606648,0.706859643,0.383422884,0.677387965,0.594726899,
4,246487_at,T,F,AT5G16030,AT5G16030,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G02500.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.536916881,0.797145016,0.802237263,0.311860435,0.674231892,0.624478297,
4,246498_at,T,F,AT5G16230,AT5G16230,Plant stearoyl-acyl-carrier-protein desaturase family protein,0.50529326,0.634562413,0.599456473,0.35967087,0.634771731,0.546750949,
4,246517_at,T,F,AT5G15760,AT5G15760,Ribosomal protein PSRP-3/Ycf65,0.520057307,0.724772121,0.840579507,0.294584003,0.545947606,0.585188109,
4,246607_at,T,F,AT5G35370,AT5G35370,S-locus lectin protein kinase family protein,0.500220128,0.751565422,0.72026951,0.410201995,0.618392149,0.600129841,
4,246631_at,T,F,AT1G50740,AT1G50740,Transmembrane proteins 14C,0.519437453,0.695941107,0.66660741,0.328541625,0.72289884,0.586685287,
4,246651_at,T,F,AT5G35170,AT5G35170,adenylate kinase family protein,0.512209918,0.69241866,0.649292544,0.37137102,0.782525939,0.601563616,
4,246733_at,T,F,AT5G27660,AT5G27660,Trypsin family protein with PDZ domain,0.448709908,0.649178287,0.596286007,0.534305667,0.664282745,0.578552523,
4,246842_at,T,F,AT5G26731,AT5G26731,unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.528604394,0.752957636,0.86147164,0.148757466,0.533415471,0.565041322,
4,246863_at,T,F,AT5G25940,AT5G25940,early nodulin-related,0.503599708,0.702276732,0.672911625,0.283145447,0.653641306,0.563114964,
4,246924_at,T,F,AT5G25060,AT5G25060,RNA recognition motif (RRM)-containing protein,0.575816807,0.71273131,0.646279071,0.362691557,0.610216637,0.581547076,
4,246978_at,T,F,AT5G24910,CYP714A1,"cytochrome P450, family 714, subfamily A, polypeptide 1",0.525257744,0.649291495,0.674775828,0.413944103,0.585709094,0.569795653,
4,246988_at,T,F,AT5G67340,AT5G67340,ARM repeat superfamily protein,0.501522401,0.73955673,0.783421276,0.332109639,0.620223679,0.595366745,
4,246995_at,T,F,AT5G67470,ATFH6|FH6,formin homolog 6,0.502737194,0.640185637,0.570420815,0.450944093,0.544307804,0.541719109,
4,247065_s_at,F,NA,AT5G66900,AT5G66900,Disease resistance protein (CC-NBS-LRR class) family,0.562095326,0.611832602,0.609072152,0.284602568,0.625587408,0.538638011,
4,247067_at,T,F,AT5G66950,AT5G66950,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein,0.624646847,0.6616162,0.728754928,0.421659351,0.630525903,0.613440646,
4,247195_at,T,F,AT5G65500,AT5G65500,U-box domain-containing protein kinase family protein,0.527719956,0.733751458,0.790648478,0.378176362,0.505480189,0.587155288,
4,247278_at,T,F,AT5G64380,AT5G64380,Inositol monophosphatase family protein,0.500084284,0.783276568,0.769169309,0.29664505,0.702126974,0.610260437,
4,247281_at,T,F,AT5G64350,FKBP12|ATFKBP12,FK506-binding protein 12,0.559222384,0.683165084,0.79539371,0.288982842,0.568943268,0.579141458,
4,247282_at,T,F,AT5G64240,MC3|AtMC3,metacaspase 3,0.581734153,0.532435047,0.630107379,0.4665401,0.668502284,0.575863792,
4,247305_at,T,F,AT5G63905,AT5G63905,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: cellular_component unknown; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 12 growth stages; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.520953542,0.731710385,0.771921011,0.210124237,0.681893259,0.583320487,
4,247312_at,T,F,AT5G63970,AT5G63970,Copine (Calcium-dependent phospholipid-binding protein) family,0.530269714,0.726222921,0.768954439,0.361463547,0.624409224,0.602263969,
4,247325_at,T,F,AT5G64200,At-SC35,RNA-binding SR protein At-SC35 subfamily SC,0.519713619,0.728566488,0.74419804,0.28300428,0.655848085,0.586266103,
4,247354_at,T,F,AT5G63590,ATFLS3|FLS3,flavonol synthase 3,0.536546104,0.595806192,0.631230581,0.412851383,0.702611705,0.575809193,
4,247359_at,T,F,AT5G63560,AT5G63560,HXXXD-type acyl-transferase family protein,0.527998348,0.640929879,0.6398789,0.442235369,0.717004315,0.593609362,
4,247567_at,T,F,AT5G61190,AT5G61190,putative endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain,0.733742617,0.579394262,0.709633216,0.347244579,0.500788954,0.574160725,
4,247597_at,T,F,AT5G60860,AtRABA1f|RABA1f,RAB GTPase homolog A1F,0.560061966,0.699938504,0.81276306,0.25007883,0.540887025,0.572745877,
4,247618_at,T,F,AT5G60280,AT5G60280,Concanavalin A-like lectin protein kinase family protein,0.52274336,0.728684061,0.731974956,0.19421302,0.649721408,0.565467361,
4,247652_at,T,F,AT5G59910,HTB4,Histone superfamily protein,0.590827041,0.607578016,0.610560187,0.206970915,0.646649974,0.532517227,
4,247655_at,T,F,AT5G59820,ZAT12|RHL41,C2H2-type zinc finger family protein,0.529780666,0.626955692,0.583239141,0.366822244,0.684245063,0.558208561,
4,247709_at,T,F,AT5G59250,AT5G59250,Major facilitator superfamily protein,0.509107288,0.757399752,0.703936996,0.351044342,0.74956394,0.614210464,
4,247765_at,T,F,AT5G58860,CYP86|CYP86A1,"cytochrome P450, family 86, subfamily A, polypeptide 1",0.503473362,0.649055002,0.635079069,0.405380175,0.730787472,0.584755016,
4,247779_at,T,F,AT5G58760,DDB2,damaged DNA binding 2,0.547209792,0.649805821,0.605385981,0.383729741,0.659104764,0.56904722,
4,247847_at,T,F,AT5G58110,AT5G58110,chaperone binding;ATPase activators,0.530330597,0.756195159,0.671512208,0.262110064,0.732769297,0.590583465,
4,247892_at,T,F,AT5G57970,AT5G57970,DNA glycosylase superfamily protein,0.621025418,0.596347591,0.684301055,0.329535308,0.555040985,0.557250071,
4,247901_at,T,F,AT5G57300,AT5G57300,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,0.547294058,0.667505439,0.72584244,0.305790086,0.644778407,0.578242086,
4,248016_at,T,F,AT5G56380,AT5G56380,F-box/RNI-like/FBD-like domains-containing protein,0.507823676,0.55639414,0.538061872,0.396956931,0.778040323,0.555455388,
4,248092_at,T,F,AT5G55170,ATSUMO3|SUMO3|SUM3|SUMO 3,small ubiquitin-like modifier 3,0.605387329,0.69620051,0.746966521,0.215864352,0.571612281,0.567206198,
4,248113_at,T,F,AT5G55360,AT5G55360,MBOAT (membrane bound O-acyl transferase) family protein,0.528805519,0.571265008,0.573412062,0.05979061,0.781734486,0.503001537,
4,248142_at,T,F,AT5G55040,AT5G55040,DNA-binding bromodomain-containing protein,0.51220311,0.502023743,0.482196913,0.59431427,0.68045865,0.554239337,
4,248154_at,T,F,AT5G54400,AT5G54400,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,0.439270727,0.590913932,0.652812818,0.548366573,0.599307278,0.566134266,
4,248176_at,T,F,AT5G54650,Fh5|ATFH5,formin homology5,0.573345321,0.668860246,0.743900769,0.374037401,0.620954101,0.596219568,
4,248177_at,T,F,AT5G54630,AT5G54630,zinc finger protein-related,0.511526016,0.743840307,0.755534268,0.280844294,0.696384243,0.597625826,
4,248201_at,T,F,AT5G54180,PTAC15,plastid transcriptionally active 15,0.512798354,0.757814889,0.829745255,0.36331441,0.535547988,0.599844179,
4,248254_at,T,F,AT5G53320,AT5G53320,Leucine-rich repeat protein kinase family protein,0.531571331,0.585333542,0.578226662,0.486991935,0.754612027,0.587347099,
4,248266_at,T,F,AT5G53440,AT5G53440,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cytosol; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,0.379140501,0.563502083,0.51904633,0.518628217,0.619600749,0.519983576,
4,248326_at,T,F,AT5G52820,AT5G52820,"WD-40 repeat family protein / notchless protein, putative",0.55873203,0.74288752,0.694042131,0.261983729,0.719797473,0.595488577,
4,248366_at,T,F,AT5G52510,SCL8,SCARECROW-like 8,0.548666509,0.690425906,0.726847332,0.415738592,0.684368716,0.613209411,
4,248394_at,T,F,AT5G52070,AT5G52070,Agenet domain-containing protein,0.511430562,0.676521764,0.643647371,0.423579522,0.699637506,0.590963345,
4,248458_at,T,F,AT5G51430,EYE,conserved oligomeric Golgi complex component-related / COG complex component-related,0.51155645,0.746370888,0.837866196,0.163461816,0.615556098,0.57496229,
4,248528_at,T,F,AT5G50760,AT5G50760,SAUR-like auxin-responsive protein family,0.541228159,0.664877577,0.626916791,0.425221484,0.713424721,0.594333746,
4,248545_at,T,F,AT5G50260,AT5G50260,Cysteine proteinases superfamily protein,0.581200498,0.480055479,0.572559885,0.560487649,0.551250857,0.549110874,
4,248621_at,T,F,AT5G49350,AT5G49350,Glycine-rich protein family,0.590890645,0.57955553,0.600521656,0.479271247,0.67165338,0.584378492,
4,248660_at,T,F,AT5G48650,AT5G48650,Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain,0.506329975,0.799035153,0.820672029,0.111214346,0.619990379,0.571448376,
4,248685_at,T,F,AT5G48500,AT5G48500,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G10930.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.560565741,0.615473974,0.780489657,0.273898874,0.525583952,0.55120244,
4,248701_at,T,F,AT5G48410,ATGLR1.3|GLR1.3,glutamate receptor 1.3,0.602585977,0.745819557,0.778831135,0.347015134,0.607716451,0.616393651,
4,248720_at,T,F,AT5G47750,D6PKL2|PK5,D6 protein kinase like 2,0.546318407,0.729339964,0.806163145,0.314533561,0.579545978,0.595180211,
4,248750_at,T,F,AT5G47530,AT5G47530,Auxin-responsive family protein,0.523597789,0.653980823,0.631938232,0.2934006,0.626412675,0.545866024,
4,248770_at,T,F,AT5G47740,AT5G47740,Adenine nucleotide alpha hydrolases-like superfamily protein,0.543716174,0.590077205,0.62278422,0.487504259,0.615647779,0.571945927,
4,248779_at,T,F,AT5G47720,AT5G47720,Thiolase family protein,0.565552433,0.62606877,0.657928851,0.452540072,0.700616499,0.600541325,
4,248889_at,T,F,AT5G46230,AT5G46230,"Protein of unknown function, DUF538",0.520038437,0.75225189,0.692943371,0.234083348,0.536936971,0.547250803,
4,248906_at,T,F,AT5G46420,AT5G46420,16S rRNA processing protein RimM family,0.503242822,0.765778674,0.753142838,0.306766771,0.713689924,0.608524206,
4,248910_at,T,F,AT5G45820,PKS18|SnRK3.6|CIPK20,CBL-interacting protein kinase 20,0.527225307,0.785700632,0.839261502,0.247677635,0.576677205,0.595308456,
4,248945_at,T,F,AT5G45510,AT5G45510,Leucine-rich repeat (LRR) family protein,0.510466375,0.551336658,0.600661644,0.304712366,0.670613062,0.527558021,
4,248950_at,T,F,AT5G45390,CLPP4|NCLPP4,CLP protease P4,0.521659012,0.777338345,0.736040667,0.328129759,0.714420915,0.61551774,
4,248951_at,T,F,AT5G45550,AT5G45550,Mob1/phocein family protein,0.488230063,0.68993465,0.568297708,0.540778873,0.60314191,0.578076641,
4,249027_at,T,F,AT5G44790,HMA7|RAN1,copper-exporting ATPase / responsive-to-antagonist 1 / copper-transporting ATPase (RAN1),0.534649731,0.793260548,0.857920374,0.289865319,0.588143423,0.612767879,
4,249028_at,T,F,AT5G44740,POLH,Y-family DNA polymerase H,0.502687805,0.73913862,0.697506277,0.196624496,0.716830873,0.570557614,
