nc,ps,Unique,Redundant,AGI,Symbol,Description,cor.258176_at,cor.258177_at,cor.258084_at,cor.245557_at,cor.251865_at,cor.255731_at,cor.246907_at,cor.256187_at,cor.258060_at,cor.259359_at,
7,244937_at,T,F,ATCG01110,NDHH,NAD(P)H dehydrogenase subunit H,0.687309136,0.768002657,0.308600798,0.851548912,0.817674471,0.562556805,0.159498198,0.20720292,0.705062599,0.556288827,
7,244966_at,T,F,ATCG00600,PETG,PETG,0.688897563,0.804167995,0.26624225,0.801119608,0.812965759,0.613981585,0.176165215,0.251069797,0.682916368,0.504986246,
7,244968_at,T,F,ATCG00640,RPL33,ribosomal protein L33,0.757730094,0.78117159,0.285740944,0.869750978,0.787183635,0.629668615,0.071856106,0.191945221,0.601171397,0.518406026,
7,244969_at,T,F,ATCG00650,RPS18,ribosomal protein S18,0.672014867,0.767101,0.272887593,0.863059399,0.833013812,0.515104165,0.15813704,0.174264372,0.664300735,0.563277981,
7,244971_at,T,F,ATCG00670,PCLPP|CLPP1,plastid-encoded CLP P,0.735099712,0.850658319,0.290855575,0.801442356,0.824467671,0.634771196,0.184525156,0.300480419,0.665790935,0.51211618,
7,244974_at,T,F,ATCG00700,PSBN,photosystem II reaction center protein N,0.739118565,0.791309397,0.334601291,0.859875537,0.848724637,0.605287542,0.123838767,0.276921426,0.653958111,0.52061196,
7,244978_at,T,F,ATCG00740,RPOA,RNA polymerase subunit alpha,0.679446775,0.754096726,0.230266817,0.851703285,0.800252095,0.58282836,0.148138722,0.237800079,0.694811413,0.516526018,
7,244979_at,T,F,ATCG00750,RPS11,ribosomal protein S11,0.707166273,0.760390999,0.307041568,0.87104445,0.804181136,0.590227607,0.106149047,0.204983074,0.654228239,0.568219758,
7,244980_at,T,F,ATCG00760,RPL36,ribosomal protein L36,0.70216734,0.758212627,0.277191815,0.884234842,0.802018575,0.578837299,0.108917625,0.19428134,0.647904118,0.56333175,
7,244981_at,T,F,ATCG00770,RPS8,ribosomal protein S8,0.69981985,0.742172042,0.320888384,0.878093575,0.805524696,0.570033865,0.111947487,0.19085267,0.650817692,0.561147425,
7,244982_at,T,F,ATCG00780,RPL14,ribosomal protein L14,0.685844029,0.742608288,0.322068725,0.881510189,0.798841992,0.553040869,0.109854033,0.151657499,0.628312656,0.57431799,
7,244985_at,T,F,ATCG00810,RPL22,ribosomal protein L22,0.681177822,0.732177775,0.285941462,0.903604195,0.814092785,0.537546122,0.130424182,0.134541428,0.644937641,0.562083721,
7,244986_at,T,F,ATCG00820,RPS19,ribosomal protein S19,0.673486166,0.75175572,0.325825391,0.861755762,0.838050434,0.525093205,0.165454202,0.219403757,0.67539076,0.551714042,
7,244991_s_at,F,NA,ATCG01250,NDHB.2,NADH-Ubiquinone/plastoquinone (complex I) protein,0.546790473,0.770678606,0.259213673,0.612709981,0.692261003,0.518967794,0.241073875,0.251718921,0.682383974,0.517819541,
7,244995_at,T,F,ATCG00150,ATPI,"ATPase, F0 complex, subunit A protein",0.70109577,0.792743465,0.329515008,0.80730118,0.82399624,0.587505887,0.162306991,0.263659291,0.711695227,0.525788348,
7,244998_at,T,F,ATCG00180,RPOC1,DNA-directed RNA polymerase family protein,0.674988173,0.771474719,0.275098372,0.873356676,0.825054676,0.509733988,0.168610947,0.16247636,0.639136174,0.58035572,
7,245008_at,T,F,ATCG00360,YCF3,Tetratricopeptide repeat (TPR)-like superfamily protein,0.695962127,0.801075621,0.273023131,0.856407696,0.841643515,0.582534006,0.192435472,0.231914803,0.661468841,0.528240978,
7,245009_at,T,F,ATCG00380,RPS4,chloroplast ribosomal protein S4,0.726741184,0.825621393,0.303967606,0.830004117,0.845800815,0.618747985,0.180469747,0.296053523,0.670846867,0.510568709,
7,245016_at,T,F,ATCG00500,ACCD,acetyl-CoA carboxylase carboxyl transferase subunit beta,0.662848272,0.815540721,0.268889883,0.817160488,0.834911985,0.542286751,0.21428105,0.254239591,0.671370985,0.56494246,
7,245024_at,T,F,ATCG00120,ATPA,ATP synthase subunit alpha,0.689022602,0.834698671,0.302147245,0.782533956,0.837800083,0.60905719,0.213363893,0.33601481,0.676924778,0.506819656,
7,245029_at,T,F,AT2G26580,YAB5,plant-specific transcription factor YABBY family protein,0.729864893,0.770493367,0.379906469,0.849088404,0.866730175,0.554955658,0.098385331,0.330590819,0.729534479,0.558558774,
7,245036_at,T,F,AT2G26410,Iqd4,IQ-domain 4,0.680054377,0.851023236,0.437963409,0.501392183,0.728394826,0.679756747,0.198334891,0.594412002,0.590721416,0.397754898,
7,245042_at,T,F,AT2G26540,DUF3|ATDUF3|HEMD|ATUROS|UROS,uroporphyrinogen-III synthase family protein,0.701550336,0.664724304,0.283637351,0.899555362,0.717290933,0.605417394,0.025401873,0.094794285,0.612054358,0.505290924,
7,245089_at,T,F,AT2G45290,AT2G45290,Transketolase,0.673722327,0.691216894,0.320095768,0.839874862,0.693547947,0.527680177,0.040350929,0.114468319,0.590892813,0.624328983,
7,245090_at,T,F,AT2G40900,AT2G40900,nodulin MtN21 /EamA-like transporter family protein,0.573838441,0.694740327,0.507985493,0.732241863,0.820764328,0.391399739,0.18005293,0.294755941,0.638571895,0.633671668,
7,245118_at,T,F,AT2G41680,NTRC,NADPH-dependent thioredoxin reductase C,0.697289961,0.761279479,0.282760269,0.834176293,0.791951635,0.542318736,0.129805049,0.204096357,0.737547014,0.544327498,
7,245123_at,T,F,AT2G47450,CAO|CPSRP43,chloroplast signal recognition particle component (CAO),0.743786083,0.799782876,0.298082776,0.813481857,0.828998221,0.642561675,0.123692923,0.342096277,0.719883695,0.501461633,
7,245134_s_at,F,NA,AT4G38280,AT4G38280,BEST Arabidopsis thaliana protein match is: Integral membrane protein hemolysin-III homolog (TAIR:AT2G45250.1); Has 65 Blast hits to 65 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 2; Plants - 63; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.798134418,0.720898599,0.455736411,0.655995905,0.791326003,0.722109187,0.020680163,0.536664141,0.548858879,0.31810102,
7,245142_at,T,F,AT2G45270,GCP1,glycoprotease 1,0.713989378,0.817674261,0.337308269,0.822063992,0.846925473,0.579186946,0.173166605,0.300548861,0.738069251,0.533954957,
7,245198_at,T,F,AT1G67700,AT1G67700,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, chloroplast envelope; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 49 Blast hits to 49 proteins in 20 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 44; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink).",0.740775387,0.780817774,0.327886172,0.855179506,0.806223753,0.627106789,0.105339466,0.251242452,0.680541287,0.528055634,
7,245215_at,T,F,AT1G67830,ATFXG1|FXG1,alpha-fucosidase 1,0.674696516,0.708490915,0.371661474,0.880678911,0.812073934,0.520836642,0.129625381,0.165563214,0.693676798,0.586172919,
7,245231_at,NA,NA,NA,NA,NA,0.607955535,0.66161589,0.43458629,0.73191699,0.752492954,0.532815182,0.015403727,0.393951012,0.571554836,0.57105323,
7,245263_at,T,F,AT4G17740,AT4G17740,Peptidase S41 family protein,0.681476033,0.712962697,0.441789086,0.857704207,0.774798336,0.538512327,0.099901543,0.130362904,0.595370959,0.602324054,
7,245281_at,T,F,AT4G15560,DXPS2|DXS|CLA|DEF|CLA1,Deoxyxylulose-5-phosphate synthase,0.645360883,0.703148613,0.216172237,0.86207632,0.772000504,0.508792842,0.076705001,0.174454431,0.71837403,0.594804304,
7,245287_at,T,F,AT4G14910,HISN5B,HISTIDINE BIOSYNTHESIS 5B,0.767599751,0.768596439,0.317759365,0.831282335,0.779818124,0.656085946,0.015017432,0.290786833,0.646223323,0.510306214,
7,245292_at,T,F,AT4G15093,AT4G15093,catalytic LigB subunit of aromatic ring-opening dioxygenase family,0.733166517,0.786210771,0.336734559,0.848071881,0.844036922,0.586345695,0.156056766,0.275815294,0.645583635,0.509637716,
7,245300_at,T,F,AT4G16350,SCABP2|CBL6,calcineurin B-like protein 6,0.694992807,0.800916608,0.298102474,0.732135583,0.776051627,0.611954865,0.189722691,0.288798749,0.667592716,0.540674987,
7,245326_at,T,F,AT4G14100,AT4G14100,"transferases, transferring glycosyl groups",0.638357506,0.690412205,0.469991432,0.692202826,0.720021924,0.536095183,0.053469887,0.296381924,0.734715851,0.582791489,
7,245346_at,T,F,AT4G17090,CT-BMY|BMY8|BAM3,chloroplast beta-amylase,0.701719314,0.735207395,0.400469876,0.858246132,0.872163976,0.541432274,0.192307681,0.262961152,0.669995556,0.510081375,
7,245347_at,T,F,AT4G14890,AT4G14890,2Fe-2S ferredoxin-like superfamily protein,0.741305293,0.773783764,0.337868428,0.863006133,0.833977668,0.623762179,0.10828751,0.273281751,0.681859354,0.527073189,
7,245354_at,T,F,AT4G17600,LIL3:1,Chlorophyll A-B binding family protein,0.74467178,0.788180977,0.330893322,0.857568671,0.831904472,0.628366736,0.139603183,0.261622548,0.679690391,0.505495864,
7,245366_at,T,F,AT4G14965,AtMAPR4|MAPR4,membrane-associated progesterone binding protein 4,0.643335776,0.711057458,0.514554694,0.32665042,0.698428004,0.647455695,0.197064983,0.735540361,0.527549061,0.187163777,
7,245388_at,T,F,AT4G16410,AT4G16410,unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF751 (InterPro:IPR008470); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.728743206,0.798959031,0.352602407,0.830971555,0.849010517,0.601661569,0.137654813,0.323401431,0.730075623,0.532416029,
7,245396_at,T,F,AT4G14870,AT4G14870,secE/sec61-gamma protein transport protein,0.74982503,0.778325684,0.34772535,0.85773638,0.837852356,0.597200186,0.123922386,0.268832568,0.665123895,0.530205708,
7,245416_at,T,F,AT4G17350,AT4G17350,Plant protein of unknown function (DUF828) with plant pleckstrin homology-like region,0.816905,0.82234353,0.371343051,0.653604955,0.790869158,0.796724318,0.101827561,0.514511581,0.557330225,0.313911772,
7,245449_at,T,F,AT4G16870,AT4G16870,"copia-like retrotransposon family, has a 0. P-value blast match to dbj|BAA78426.1| polyprotein (AtRE2-1) (Arabidopsis thaliana) (Ty1_Copia-element)",0.740640326,0.704783164,0.264458526,0.868504958,0.738108321,0.616387577,0.020504835,0.236529309,0.59755933,0.518994678,
7,245460_at,T,F,AT4G16990,RLM3,"disease resistance protein (TIR-NBS class), putative",0.677755464,0.795905345,0.223982416,0.833747886,0.834341562,0.550545604,0.177350052,0.260955006,0.733438769,0.529597936,
7,245466_at,T,F,AT4G16600,AT4G16600,Nucleotide-diphospho-sugar transferases superfamily protein,0.678451639,0.742119488,0.31673658,0.818963855,0.720907197,0.57812576,0.166189214,0.157849365,0.567746276,0.547945405,
7,245584_at,T,F,AT4G14940,ATAO1|AO1,amine oxidase 1,0.789440395,0.836466248,0.183750021,0.576928588,0.671135383,0.853133715,0.134633829,0.548762942,0.525689218,0.174460594,
7,245592_at,T,F,AT4G14540,NF-YB3,"nuclear factor Y, subunit B3",0.709884944,0.723791973,0.346654944,0.871312182,0.797105869,0.58603653,0.061455322,0.196095304,0.67692874,0.575118822,
7,245632_at,T,F,AT1G25290,ATRBL10|RBL10,RHOMBOID-like protein 10,0.765716031,0.701110752,0.327122664,0.87110091,0.709624555,0.615181546,0.034802812,0.158093143,0.549443991,0.548670113,
7,245633_at,T,F,AT1G25280,AtTLP10|TLP10,tubby like protein 10,0.66153469,0.573225867,0.206896925,0.919625089,0.639517385,0.50667287,0.053734052,0.032170829,0.562196205,0.559842696,
7,245716_at,T,F,AT5G08740,NDC1,NAD(P)H dehydrogenase C1,0.746974675,0.816417233,0.291341368,0.825757338,0.79919806,0.65740628,0.085046715,0.300048654,0.647777514,0.540283864,
7,245725_at,T,F,AT1G73370,ATSUS6|SUS6,sucrose synthase 6,0.753791624,0.809776981,0.323984425,0.559452934,0.769254844,0.714283031,0.12777963,0.577129749,0.695935674,0.301444711,
7,245743_at,T,F,AT1G51080,AT1G51080,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 15 plant structures; EXPRESSED DURING: 11 growth stages; Has 101 Blast hits to 98 proteins in 44 species: Archae - 0; Bacteria - 0; Metazoa - 38; Fungi - 10; Plants - 27; Viruses - 0; Other Eukaryotes - 26 (source: NCBI BLink).,0.679350523,0.642688242,0.312291981,0.934106557,0.746077065,0.524555138,0.023727076,0.082872426,0.555546613,0.549156262,
7,245744_at,T,T,AT1G51110,AT1G51110,Plastid-lipid associated protein PAP / fibrillin family protein,0.74660418,0.760762556,0.296576693,0.879218117,0.809087616,0.627942528,0.08424457,0.242736465,0.657471154,0.510714665,
7,245764_s_at,F,NA,AT1G19750,AT1G19750,Transducin/WD40 repeat-like superfamily protein,0.60866378,0.763070476,0.316679489,0.534878707,0.794609799,0.513952296,0.296621057,0.566588549,0.680721785,0.358973274,
7,245775_at,T,F,AT1G30270,SnRK3.23|CIPK23|ATCIPK23|LKS1,CBL-interacting protein kinase 23,0.728633807,0.802820255,0.356366578,0.827529258,0.86215844,0.573349144,0.164141211,0.312364239,0.712938987,0.552661827,
7,245783_s_at,F,NA,AT1G35170,AT1G35170,"TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein",0.720914305,0.695019451,0.312575269,0.873899754,0.678899449,0.524952769,0.009719677,0.041139317,0.557067147,0.567458443,
7,245784_at,T,F,AT1G32190,AT1G32190,alpha/beta-Hydrolases superfamily protein,0.744140672,0.804915223,0.28474262,0.622534079,0.771331232,0.785036663,0.173780713,0.515926142,0.640901045,0.267446495,
7,245788_at,T,F,AT1G32120,AT1G32120,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: membrane; EXPRESSED IN: 14 plant structures; EXPRESSED DURING: 4 anthesis, C globular stage, F mature embryo stage, petal differentiation and expansion stage, E expanded cotyledon stage; CONTAINS InterPro DOMAIN/s: Aminotransferase-like, plant mobile domain (InterPro:IPR019557), Protein of unknown function DUF716 (InterPro:IPR006904); BEST Arabidopsis thaliana protein match is: Aminotransferase-like, plant mobile domain family protein (TAIR:AT1G51538.1); Has 16736 Blast hits to 9656 proteins in 576 species: Archae - 4; Bacteria - 1182; Metazoa - 7098; Fungi - 2631; Plants - 1178; Viruses - 174; Other Eukaryotes - 4469 (source: NCBI BLink).",0.749775758,0.766094224,0.368180834,0.859996597,0.80409311,0.646930568,0.075489994,0.249772417,0.653282988,0.528526503,
7,245791_at,T,F,AT1G32210,ATDAD1,Defender against death (DAD family) protein,0.748414889,0.839483836,0.204054971,0.513720856,0.728185791,0.71907216,0.124732145,0.599980329,0.675219811,0.256909651,
7,245793_at,T,F,AT1G32220,AT1G32220,NAD(P)-binding Rossmann-fold superfamily protein,0.71200166,0.772814672,0.252425986,0.875688507,0.820042795,0.595114696,0.122915954,0.229725876,0.685372377,0.516000957,
7,245799_at,T,F,AT1G45616,RLP6|AtRLP6,receptor like protein 6,0.756955002,0.889809743,0.317015681,0.631418256,0.81865649,0.71951209,0.242170314,0.608035529,0.64836012,0.291588375,
7,245830_at,T,F,AT1G57790,AT1G57790,F-box family protein,0.800151886,0.847395429,0.351748865,0.671108108,0.825388309,0.740403745,0.130864339,0.555910633,0.653754804,0.355943949,
7,245832_at,T,F,AT1G48850,EMB1144,"chorismate synthase, putative / 5-enolpyruvylshikimate-3-phosphate phospholyase, putative",0.823744257,0.858200453,0.249265117,0.630777665,0.800257469,0.762037785,0.156381525,0.518034338,0.521461522,0.223302195,
7,245852_at,T,F,AT5G13510,AT5G13510,Ribosomal protein L10 family protein,0.683318993,0.783183095,0.303141051,0.862058777,0.857121331,0.5631566,0.191875649,0.251906617,0.720020359,0.534609981,
7,245877_at,T,F,AT1G26220,AT1G26220,Acyl-CoA N-acyltransferases (NAT) superfamily protein,0.696338269,0.782648862,0.297021786,0.839549706,0.845348031,0.563172204,0.161336126,0.279287899,0.735008794,0.538918983,
7,245885_at,T,F,AT5G09440,EXL4,EXORDIUM like 4,0.623486181,0.665254073,0.554517938,0.676099186,0.751415606,0.523730685,0.225457165,0.319676015,0.68229096,0.411711069,
7,245924_at,T,F,AT5G28750,AT5G28750,Bacterial sec-independent translocation protein mttA/Hcf106,0.715584317,0.798792201,0.297713856,0.823682191,0.842323197,0.579342882,0.16417577,0.297369489,0.748524159,0.507471685,
7,245946_at,T,F,AT5G19580,AT5G19580,glyoxal oxidase-related protein,0.818487032,0.885153263,0.259944406,0.631595928,0.776159213,0.802154312,0.195728341,0.580217777,0.558707962,0.22992975,
7,245949_at,T,F,AT5G19510,AT5G19510,Translation elongation  factor EF1B/ribosomal protein S6 family protein,0.853243733,0.842962598,0.185508619,0.639629509,0.715965165,0.864593508,0.078473693,0.537746008,0.53813857,0.19348855,
7,245952_at,T,F,AT5G28500,AT5G28500,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast stroma, chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G04550.1); Has 109 Blast hits to 109 proteins in 49 species: Archae - 0; Bacteria - 67; Metazoa - 0; Fungi - 0; Plants - 41; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).",0.701092936,0.801802667,0.321770665,0.842239285,0.845201779,0.568892597,0.190618329,0.261150996,0.734550539,0.538497624,
7,245968_at,T,F,AT5G19810,AT5G19810,Proline-rich extensin-like family protein,0.63012084,0.736335265,0.230221454,0.804205218,0.842734943,0.514306876,0.123858872,0.330206865,0.777039711,0.522819981,
7,245976_at,T,F,AT5G13080,WRKY75|ATWRKY75,WRKY DNA-binding protein 75,0.722436534,0.773381111,0.321508069,0.868710516,0.838020874,0.572415124,0.132100226,0.261349035,0.664587824,0.52393678,
7,245979_at,T,F,AT5G13150,EXO70C1|ATEXO70C1,exocyst subunit exo70 family protein C1,0.743397675,0.803536754,0.345296589,0.746600229,0.750707581,0.665216717,0.016356327,0.330159408,0.564314792,0.556391029,
7,246004_at,T,F,AT5G20630,GER3|GLP3A|ATGER3|GLP3|GLP3B,germin 3,0.652098004,0.632020335,0.412118133,0.902964325,0.750898838,0.531981545,0.069316994,0.058362162,0.570680706,0.575540629,
7,246035_at,T,F,AT5G08300,AT5G08300,"Succinyl-CoA ligase, alpha subunit",0.73968041,0.743307637,0.354909,0.633299027,0.725898381,0.690383045,0.063698665,0.509172444,0.712446053,0.308944636,
7,246040_at,T,F,AT5G19370,AT5G19370,rhodanese-like domain-containing protein / PPIC-type PPIASE domain-containing protein,0.66853754,0.702074317,0.337874785,0.892622974,0.796606678,0.520665135,0.110789944,0.123764214,0.608210201,0.577594684,
7,246068_at,T,F,AT5G20290,AT5G20290,Ribosomal protein S8e family protein,0.864653825,0.833430503,0.171184577,0.573685384,0.673474765,0.887081339,0.039514731,0.567347365,0.502128497,0.148481875,
7,246069_at,T,F,AT5G20220,AT5G20220,zinc knuckle (CCHC-type) family protein,0.762801714,0.868296912,0.277581329,0.617529039,0.825424321,0.721645356,0.256564578,0.594094955,0.72881519,0.247274834,
7,246074_at,T,F,AT5G20130,AT5G20130,unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.593070956,0.683967392,0.539205748,0.802261701,0.856576097,0.428499154,0.179380975,0.206415103,0.661111586,0.584669709,
7,246110_at,T,F,AT5G20140,AT5G20140,SOUL heme-binding family protein,0.725905801,0.785531696,0.309721923,0.861841651,0.822664659,0.62665157,0.118969421,0.260589351,0.667409648,0.5349362,
7,246122_at,T,F,AT5G20380,PHT4;5,phosphate transporter 4;5,0.855136093,0.847278932,0.304027342,0.586330961,0.715507832,0.836635293,0.081655259,0.551248717,0.576053075,0.223903999,
7,246150_at,T,F,AT5G19930,AT5G19930,"Protein of unknown function DUF92, transmembrane",0.723683795,0.832040801,0.403300855,0.506533195,0.815707669,0.581549926,0.236920675,0.623262185,0.743288882,0.295671453,
7,246183_at,T,F,AT5G20940,AT5G20940,Glycosyl hydrolase family protein,0.759159617,0.821956939,0.233791735,0.520524864,0.735422744,0.629756127,0.176216316,0.57875386,0.548347802,0.280946345,
7,246205_at,T,F,AT4G36970,AT4G36970,Remorin family protein,0.688414689,0.635305487,0.544155113,0.719518344,0.734472552,0.562872092,0.044112096,0.327263269,0.410998765,0.516729108,
7,246217_at,T,F,AT4G36920,AP2|FL1|FLO2,Integrase-type DNA-binding superfamily protein,0.812342319,0.848049195,0.424655706,0.641160777,0.819513829,0.701891982,0.164105964,0.556481651,0.601915077,0.343731958,
7,246220_at,T,F,AT4G37210,AT4G37210,Tetratricopeptide repeat (TPR)-like superfamily protein,0.71973896,0.776530382,0.311911922,0.581618723,0.724991969,0.756687169,0.122668579,0.506706231,0.615853249,0.35232161,
7,246237_at,T,F,AT4G36390,AT4G36390,Methylthiotransferase,0.700017298,0.755568131,0.319060011,0.859836241,0.836157448,0.53409506,0.13300471,0.224278236,0.732098681,0.539944507,
7,246288_at,T,F,AT1G31850,AT1G31850,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,0.654120479,0.842963044,0.177075783,0.513699086,0.780474585,0.604277963,0.245013655,0.614789118,0.746076674,0.308662564,
7,246294_at,T,F,AT3G56910,PSRP5,plastid-specific 50S ribosomal protein 5,0.670911323,0.748603207,0.322677045,0.878029275,0.826473936,0.511607644,0.159048661,0.162805476,0.689556934,0.586001163,
7,246306_at,T,F,AT3G51780,ATBAG4|BAG4,BCL-2-associated athanogene 4,0.694957769,0.734734256,0.508631391,0.656394432,0.810362623,0.616005129,0.153256033,0.425976886,0.608994453,0.320054358,
7,246313_at,T,F,AT1G31920,AT1G31920,Tetratricopeptide repeat (TPR)-like superfamily protein,0.663877873,0.766902113,0.251773322,0.856909836,0.829606817,0.522126758,0.158490487,0.22760543,0.748123944,0.568195713,
7,246316_at,T,F,AT3G56890,AT3G56890,F-box associated ubiquitination effector family protein,0.556529698,0.64747886,0.500117351,0.538453874,0.602543203,0.573513547,0.114674721,0.361050199,0.508101875,0.399753276,
7,246391_at,T,F,AT1G77350,AT1G77350,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function KRTCAP2 (InterPro:IPR018614); Has 141 Blast hits to 141 proteins in 57 species: Archae - 0; Bacteria - 0; Metazoa - 96; Fungi - 0; Plants - 33; Viruses - 0; Other Eukaryotes - 12 (source: NCBI BLink).,0.769579779,0.814934798,0.322272255,0.558524331,0.74705625,0.766554367,0.177076319,0.512829635,0.653025372,0.188808309,
7,246454_at,T,F,AT5G16710,DHAR3,dehydroascorbate reductase 1,0.73779978,0.76717721,0.300859485,0.875577592,0.809857091,0.631186023,0.11949148,0.225538727,0.629517137,0.502672005,
7,246462_at,T,F,AT5G16940,AT5G16940,carbon-sulfur lyases,0.742176565,0.729596693,0.124633176,0.550734997,0.629080045,0.816676957,0.001432508,0.504655154,0.519319294,0.208644997,
7,246487_at,T,F,AT5G16030,AT5G16030,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G02500.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.684668053,0.713963516,0.267864617,0.901264629,0.807525805,0.540611122,0.05771967,0.187468807,0.669158942,0.573143273,
7,246492_at,T,F,AT5G16140,AT5G16140,Peptidyl-tRNA hydrolase family protein,0.732865744,0.775422499,0.302288251,0.871395552,0.797971132,0.603847396,0.059579123,0.233994865,0.660585896,0.552757291,
7,246548_at,T,F,AT5G14910,AT5G14910,Heavy metal transport/detoxification superfamily protein,0.733784526,0.783735565,0.336037013,0.870197984,0.818219421,0.592575813,0.121835885,0.216687436,0.65480669,0.548991559,
7,246559_at,T,F,AT5G15550,AT5G15550,Transducin/WD40 repeat-like superfamily protein,0.853745976,0.804091864,0.187125596,0.583173916,0.667062923,0.899766133,0.068829717,0.532567944,0.504504986,0.097149783,
7,246596_at,T,F,AT5G14740,BETA CA2|CA2|CA18,carbonic anhydrase 2,0.734352884,0.793657827,0.327665667,0.851372067,0.842633001,0.623894069,0.139864357,0.285082308,0.678228102,0.504039818,
7,246607_at,T,F,AT5G35370,AT5G35370,S-locus lectin protein kinase family protein,0.688902001,0.704252067,0.383033491,0.885623716,0.805184745,0.51820199,0.142932752,0.113210837,0.54527394,0.544695964,
7,246621_at,T,F,AT5G36230,AT5G36230,ARM repeat superfamily protein,0.754625273,0.865508729,0.265227384,0.640337764,0.837527028,0.684354754,0.217713048,0.55068933,0.732147928,0.295659105,
