nc,ps,Unique,Redundant,AGI,Symbol,Description,cor.262909_at,cor.256629_at,cor.259408_at,cor.259407_at,cor.265857_s_at,average
5,248387_at,T,F,AT5G51960,AT5G51960,CONTAINS InterPro DOMAIN/s: Complex 1 LYR protein (InterPro:IPR008011); Has 45 Blast hits to 45 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 45; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.751686599,0.582011993,0.608710792,0.622864462,0.662140195,0.645482808
5,248476_at,T,F,AT5G50890,AT5G50890,alpha/beta-Hydrolases superfamily protein,0.782809493,0.543902784,0.538474711,0.591603409,0.555872537,0.602532587
5,248572_at,T,F,AT5G49800,AT5G49800,Polyketide cyclase/dehydrase and lipid transport superfamily protein,0.836444618,0.59021575,0.541478026,0.658600904,0.58929781,0.643207422
5,248578_at,T,F,AT5G49820,EMB1879|RUS6,"Protein of unknown function, DUF647",0.848865506,0.806508565,0.689498412,0.789844808,0.507700124,0.728483483
5,248667_at,T,F,AT5G48710,AT5G48710,Ubiquitin-like superfamily protein,0.668091355,0.532275235,0.634583278,0.522110529,0.625556433,0.596523366
5,248696_at,T,F,AT5G48360,AT5G48360,Actin-binding FH2 (formin homology 2) family protein,0.851594109,0.680715813,0.686104229,0.667941686,0.555853441,0.688441856
5,248896_at,T,F,AT5G46350,ATWRKY8|WRKY8,WRKY DNA-binding protein 8,0.910241068,0.802626566,0.619066282,0.771877337,0.50871519,0.722505289
5,249038_at,T,F,AT5G44280,RING1A|ATRING1A,RING 1A,0.71958702,0.535879664,0.517793729,0.545310989,0.562239435,0.576162167
5,249066_at,T,F,AT5G43920,AT5G43920,transducin family protein / WD-40 repeat family protein,0.750685467,0.650829561,0.616118449,0.676889508,0.670662172,0.673037031
5,249126_at,T,F,AT5G43380,TOPP6,type one serine/threonine protein phosphatase 6,0.84828585,0.792232179,0.731400691,0.807186851,0.510769184,0.737974951
5,249174_at,T,F,AT5G42900,COR27,cold regulated gene 27,0.720694146,0.513830236,0.586663851,0.635689186,0.574187086,0.606212901
5,249494_at,T,F,AT5G39050,AT5G39050,HXXXD-type acyl-transferase family protein,0.745237987,0.507769448,0.610901768,0.70278255,0.51408814,0.616155979
5,249752_at,T,F,AT5G24660,LSU2,response to low sulfur 2,0.665165655,0.670943345,0.636112159,0.728562641,0.546374577,0.649431675
5,250465_at,T,F,AT5G10070,AT5G10070,RNase L inhibitor protein-related,0.714811879,0.626996801,0.56402994,0.691237328,0.715575815,0.662530353
5,250528_at,T,F,AT5G08600,AT5G08600,U3 ribonucleoprotein (Utp) family protein,0.689515342,0.646068913,0.564637467,0.531437814,0.503143931,0.586960694
5,250721_at,T,F,AT5G06210,AT5G06210,RNA binding (RRM/RBD/RNP motifs) family protein,0.792968159,0.704502793,0.598282774,0.7304149,0.642594203,0.693752566
5,250722_at,T,F,AT5G06190,AT5G06190,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G58540.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.730509145,0.651688482,0.708037382,0.74070532,0.51760061,0.669708188
5,250843_at,T,F,AT5G04430,BTR1|BTR1L|BTR1S,binding to TOMV RNA 1L (long form),0.719696365,0.532511718,0.649769021,0.526030164,0.560762163,0.597753886
5,251067_at,T,F,AT5G01910,AT5G01910,unknown protein; Has 66 Blast hits to 66 proteins in 27 species: Archae - 0; Bacteria - 2; Metazoa - 18; Fungi - 7; Plants - 29; Viruses - 0; Other Eukaryotes - 10 (source: NCBI BLink).,0.684491143,0.540188218,0.55002723,0.683772336,0.568717894,0.605439364
5,251087_at,T,F,AT5G01460,AT5G01460,LMBR1-like membrane protein,0.768655406,0.600663702,0.623293394,0.682990268,0.513737905,0.637868135
5,251104_at,T,F,AT5G01720,AT5G01720,RNI-like superfamily protein,0.800756889,0.723576051,0.653770959,0.668687086,0.52475504,0.674309205
5,251524_at,T,F,AT3G58990,IPMI1,isopropylmalate isomerase 1,0.830919761,0.739397742,0.645120547,0.695320068,0.561614072,0.694474438
5,251537_at,T,F,AT3G58470,AT3G58470,nucleic acid binding;methyltransferases,0.858712197,0.793741875,0.614965029,0.814580851,0.527279971,0.721855985
5,251599_at,T,F,AT3G57610,ADSS,adenylosuccinate synthase,0.819456103,0.752351549,0.775258859,0.763444834,0.503641295,0.722830528
5,251757_at,T,F,AT3G55640,AT3G55640,Mitochondrial substrate carrier family protein,0.829127438,0.722430617,0.534825139,0.634934817,0.524934952,0.649250593
5,251888_at,T,F,AT3G54190,AT3G54190,Transducin/WD40 repeat-like superfamily protein,0.588191606,0.530625653,0.52198294,0.654053076,0.512810057,0.561532666
5,251948_at,T,F,AT3G53580,AT3G53580,diaminopimelate epimerase family protein,0.65664519,0.627760047,0.683006598,0.694651219,0.558810203,0.644174651
5,252073_at,T,F,AT3G51750,AT3G51750,unknown protein; Has 15 Blast hits to 14 proteins in 5 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 15; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.784946463,0.582112751,0.56769147,0.688486195,0.644889813,0.653625338
5,252149_at,T,F,AT3G51290,AT3G51290,Protein of unknown function (DUF630) ;Protein of unknown function (DUF632),0.811432818,0.651760858,0.554944335,0.686361222,0.601852609,0.661270369
5,252449_at,T,F,AT3G47060,ftsh7,FTSH protease 7,0.677325184,0.682503079,0.615176992,0.550769976,0.508822121,0.60691947
5,252616_at,F,NA,AT3G45240,ATSNAK2|GRIK1,geminivirus rep interacting kinase 1,0.766085711,0.589844713,0.691748849,0.619961741,0.512147823,0.635957767
5,252852_at,T,F,AT4G39900,AT4G39900,unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,0.705655026,0.52481971,0.760700479,0.539312327,0.531345901,0.612366688
5,253234_at,T,F,AT4G34265,AT4G34265,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G15000.3); Has 76 Blast hits to 76 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 76; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.660042531,0.547682122,0.641804975,0.521405408,0.602197472,0.594626502
5,253620_at,T,F,AT4G30520,AT4G30520,Leucine-rich repeat protein kinase family protein,0.720234187,0.624414733,0.500857289,0.699217197,0.519491422,0.612842966
5,253703_at,T,F,AT4G29910,ORC5|ATORC5,origin recognition complex protein 5,0.762183199,0.607183071,0.672824744,0.586219915,0.5631604,0.638314266
5,253889_at,T,F,AT4G27760,FEY3|FEY,NAD(P)-binding Rossmann-fold superfamily protein,0.889855557,0.739934285,0.659384074,0.742079605,0.558938759,0.718038456
5,254342_at,T,F,AT4G22140,EBS,PHD finger family protein / bromo-adjacent homology (BAH) domain-containing protein,0.647753372,0.507815392,0.645463407,0.600598139,0.517562835,0.583838629
5,254400_at,T,F,AT4G21270,KATA|KATAP|ATK1,kinesin 1,0.810751843,0.593706829,0.617152384,0.698672194,0.500048556,0.644066361
5,254562_at,T,F,AT4G19230,CYP707A1,"cytochrome P450, family 707, subfamily A, polypeptide 1",0.892829152,0.769965123,0.714154705,0.798789237,0.514716017,0.738090847
5,254798_at,T,F,AT4G13050,AT4G13050,Acyl-ACP thioesterase,0.806495365,0.685722007,0.612774973,0.758598381,0.598032137,0.692324573
5,255035_at,T,F,AT4G09550,ATGIP1|GIP1,AtGCP3 interacting protein 1,0.82057317,0.739756239,0.516511806,0.707912097,0.580767318,0.673104126
5,255635_at,T,F,AT4G00720,SK32|ATSK32|ASKTHETA,shaggy-like protein kinase 32,0.542041434,0.533217161,0.605640711,0.517342401,0.565063752,0.552661092
5,255790_at,T,F,AT2G33560,BUBR1,BUB1-related (BUB1: budding uninhibited by benzymidazol 1),0.678525628,0.522409897,0.50456931,0.597420956,0.571019063,0.574788971
5,256052_at,T,F,AT1G06960,AT1G06960,RNA-binding (RRM/RBD/RNP motifs) family protein,0.731235061,0.579912016,0.711198663,0.569948004,0.62169276,0.642797301
5,256125_at,T,F,AT1G18250,ATLP-1,Pathogenesis-related thaumatin superfamily protein,0.758392004,0.647276349,0.502332694,0.66316617,0.609273233,0.63608809
5,256502_at,F,NA,AT1G36730,AT1G36730,Translation initiation factor IF2/IF5,0.880376452,0.754161177,0.684976224,0.76104262,0.561846643,0.728480623
5,256795_at,T,F,AT3G22110,PAC1,20S proteasome alpha subunit C1,0.842380572,0.75250217,0.542774933,0.720731875,0.511626847,0.674003279
5,256995_at,T,F,AT3G25840,AT3G25840,Protein kinase superfamily protein,0.700887522,0.613245079,0.643019474,0.536155283,0.561739723,0.611009416
5,257020_at,T,F,AT3G19590,BUB3.1,Transducin/WD40 repeat-like superfamily protein,0.866279355,0.682226487,0.542897878,0.738730629,0.550484372,0.676123744
5,257021_at,T,F,AT3G19710,BCAT4,branched-chain aminotransferase4,0.807646294,0.661796622,0.605929171,0.592817705,0.524067995,0.638451557
5,257052_at,T,F,AT3G15290,AT3G15290,3-hydroxyacyl-CoA dehydrogenase family protein,0.721707419,0.53557914,0.612579607,0.507845178,0.54816005,0.585174279
5,257250_at,T,F,AT3G24120,AT3G24120,Homeodomain-like superfamily protein,0.836881668,0.636329602,0.694745787,0.736454441,0.595876632,0.700057626
5,257564_at,T,F,AT3G28610,AT3G28610,P-loop containing nucleoside triphosphate hydrolases superfamily protein,0.847563841,0.779709612,0.517973749,0.76200395,0.537123038,0.688874838
5,257674_at,T,F,AT3G20390,AT3G20390,endoribonuclease L-PSP family protein,0.863537674,0.79871123,0.551347271,0.685716446,0.578208516,0.695504227
5,258224_at,T,F,AT3G15670,AT3G15670,Late embryogenesis abundant protein (LEA) family protein,0.877197971,0.775577281,0.64616657,0.800416517,0.531279869,0.726127642
5,258365_s_at,F,NA,AT3G14390,AT3G14390,Pyridoxal-dependent decarboxylase family protein,0.686127717,0.531640897,0.503975876,0.530529547,0.639182694,0.578291346
5,258452_at,T,F,AT3G22370,ATAOX1A|AOX1A,alternative oxidase 1A,0.835879563,0.733978574,0.624466167,0.747674396,0.522391583,0.692878057
5,258553_at,T,F,AT3G06960,PDE320|TGD4,pigment defective 320,0.622107734,0.588425251,0.611594198,0.65681592,0.545009713,0.604790563
5,258789_at,T,F,AT3G04605,AT3G04605,"Mutator-like transposase family, has a 5.9e-64 P-value blast match to GB:AAA21566 mudrA of transposon=MuDR (MuDr-element) (Zea mays)",0.743849858,0.680185525,0.546094868,0.624314115,0.543775089,0.627643891
5,258966_at,T,F,AT3G10690,GYRA,DNA GYRASE A,0.703548451,0.542448329,0.699281377,0.518138328,0.59031981,0.610747259
5,258998_at,T,F,AT3G01820,AT3G01820,P-loop containing nucleoside triphosphate hydrolases superfamily protein,0.724923434,0.684189321,0.564399999,0.816296507,0.535629797,0.665087811
5,259021_at,T,F,AT3G07540,AT3G07540,Actin-binding FH2 (formin homology 2) family protein,0.694866624,0.542159528,0.504344149,0.65705623,0.70193806,0.620072918
5,259099_at,T,F,AT3G05010,AT3G05010,"Protein of unknown function, transmembrane-40",0.774523366,0.716914648,0.606915963,0.681917128,0.530805771,0.662215375
5,259330_at,T,F,AT3G16270,AT3G16270,ENTH/VHS family protein,0.748399033,0.607388406,0.543934399,0.551022106,0.539048021,0.597958393
5,259453_at,T,F,AT1G44090,GA20OX5|ATGA20OX5,gibberellin 20-oxidase 5,0.788283731,0.654312897,0.51305046,0.634822978,0.615402779,0.641174569
5,259847_at,T,F,AT1G72170,AT1G72170,Domain of unknown function (DUF543),0.85437648,0.763391709,0.628935917,0.848311708,0.512425128,0.721488188
5,260063_at,T,F,AT1G73720,SMU1,transducin family protein / WD-40 repeat family protein,0.877860415,0.709458026,0.595914575,0.708341418,0.528599867,0.68403486
5,260100_at,T,F,AT1G73177,BNS,bonsai,0.757243668,0.697324836,0.545503499,0.642789695,0.502688832,0.629110106
5,260368_at,T,F,AT1G69700,ATHVA22C|HVA22C,HVA22 homologue C,0.844600588,0.621630485,0.569707391,0.630127399,0.526016686,0.63841651
5,260430_at,T,F,AT1G68200,AT1G68200,Zinc finger C-x8-C-x5-C-x3-H type family protein,0.681001606,0.695127042,0.569106887,0.534768593,0.515394862,0.599079798
5,260637_at,T,F,AT1G62380,ATACO2|ACO2,ACC oxidase 2,0.707283026,0.629295368,0.677564839,0.741816311,0.53500982,0.658193873
5,260722_at,T,F,AT1G48040,AT1G48040,Protein phosphatase 2C family protein,0.806551291,0.818755925,0.552480316,0.789001786,0.507612387,0.694880341
5,260938_at,T,F,AT1G45170,AT1G45170,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G42960.1); Has 62 Blast hits to 62 proteins in 18 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 62; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.785892869,0.593764734,0.773566113,0.521506357,0.534991795,0.641944374
5,260967_at,T,F,AT1G12230,AT1G12230,Aldolase superfamily protein,0.818257993,0.700831719,0.566518648,0.801168713,0.557111065,0.688777627
5,261122_at,T,F,AT1G75330,OTC,ornithine carbamoyltransferase,0.64895119,0.576994831,0.625469378,0.584874364,0.529521918,0.593162336
5,261165_at,T,F,AT1G34430,EMB3003,2-oxoacid dehydrogenases acyltransferase family protein,0.846013686,0.830491185,0.589462611,0.824723119,0.514338266,0.721005774
5,261306_at,T,F,AT1G48610,AT1G48610,AT hook motif-containing protein,0.838809085,0.61687831,0.675741805,0.705909197,0.508343279,0.669136335
5,261505_at,T,F,AT1G71696,SOL1,"carboxypeptidase D, putative",0.740158385,0.800619921,0.659172153,0.736628437,0.523648391,0.692045458
5,261510_at,T,F,AT1G71760,AT1G71760,unknown protein; Has 92 Blast hits to 92 proteins in 41 species: Archae - 0; Bacteria - 0; Metazoa - 44; Fungi - 0; Plants - 32; Viruses - 0; Other Eukaryotes - 16 (source: NCBI BLink).,0.802563172,0.686391597,0.744920804,0.701796192,0.524413462,0.692017045
5,261671_at,T,F,AT1G18340,AT1G18340,basal transcription factor complex subunit-related,0.852975726,0.722468781,0.641121469,0.79844354,0.543060893,0.711614082
5,262039_at,T,F,AT1G80050,APT2|PHT1.1|ATAPT2,adenine phosphoribosyl transferase 2,0.845829669,0.706393972,0.66743564,0.771126751,0.524847051,0.703126617
5,262047_at,T,F,AT1G80160,AT1G80160,Lactoylglutathione lyase / glyoxalase I family protein,0.700632281,0.552337806,0.685550859,0.575415698,0.561877917,0.615162912
5,262631_at,T,F,AT1G06500,AT1G06500,unknown protein; Has 25 Blast hits to 25 proteins in 10 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 25; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,0.828444727,0.759709793,0.690389704,0.703885883,0.504303702,0.697346762
5,263077_at,T,F,AT2G17510,EMB2763,ribonuclease II family protein,0.810223901,0.757460417,0.642839258,0.757463095,0.526329733,0.698863281
5,263385_at,T,F,AT2G40170,GEA6|EM6|ATEM6,Stress induced protein,0.698999984,0.548807834,0.507070838,0.588303334,0.616244853,0.591885368
5,263444_at,T,F,AT2G28700,AGL46,AGAMOUS-like 46,0.830223008,0.648947232,0.513594906,0.678264878,0.554242135,0.645054432
5,263515_at,T,F,AT2G21640,AT2G21640,Encodes a protein of unknown function that is a marker for oxidative stress response.,0.892704258,0.782771368,0.542780443,0.742269584,0.501276663,0.692360463
5,263570_at,T,F,AT2G27150,AOdelta|AAO3|AtAAO3|At-AO3,abscisic aldehyde oxidase 3,0.741486856,0.672209277,0.657900202,0.676442686,0.531061347,0.655820074
5,263706_s_at,F,NA,AT5G14200,ATIMD1|IMD1,isopropylmalate dehydrogenase 1,0.843312594,0.665999046,0.644799712,0.614476666,0.57741881,0.669201366
5,264154_at,T,F,AT1G65430,ARI8|ATARI8,IBR domain-containing protein,0.591578173,0.535617558,0.554118126,0.505098503,0.661101069,0.569502686
5,264266_at,T,F,AT1G09160,AT1G09160,Protein phosphatase 2C family protein,0.773929548,0.591872801,0.632907992,0.627534871,0.52353568,0.629956178
5,264568_at,T,F,AT1G05150,AT1G05150,Calcium-binding tetratricopeptide family protein,0.849358044,0.711958208,0.538882717,0.843065498,0.502874289,0.689227751
5,264612_at,T,F,AT1G04560,AT1G04560,AWPM-19-like family protein,0.822355935,0.682950237,0.562293838,0.645773643,0.588813646,0.66043746
5,264646_at,T,F,AT1G08860,BON3,Calcium-dependent phospholipid-binding Copine family protein,0.875358396,0.81532695,0.519319562,0.801492119,0.52926341,0.708152088
5,265117_at,T,F,AT1G62500,AT1G62500,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein,0.854284773,0.667557188,0.512248851,0.631427316,0.582625274,0.64962868
5,265512_at,T,F,AT2G05590,AT2G05590,TLD-domain containing nucleolar protein,0.769679749,0.760719933,0.595388237,0.792219008,0.52085735,0.687772855
5,265630_at,T,F,AT2G27350,AT2G27350,OTU-like cysteine protease family protein,0.817896496,0.670999958,0.575466718,0.649128258,0.628693234,0.668436932
5,266035_at,T,F,AT2G05990,MOD1|ENR1,NAD(P)-binding Rossmann-fold superfamily protein,0.870965036,0.720756532,0.564619648,0.721981704,0.585489748,0.692762534
5,266054_at,T,F,AT2G40640,AT2G40640,RING/U-box superfamily protein,0.811154372,0.641384898,0.606880685,0.645057197,0.590444335,0.658984298
5,266099_at,T,F,AT2G38040,CAC3,acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit,0.864587233,0.728018358,0.633407046,0.822265028,0.522400836,0.7141357
5,266380_at,T,F,AT2G14680,MEE13,myosin heavy chain-related,0.645864283,0.638360755,0.528306316,0.675759222,0.543278848,0.606313885
5,266534_at,T,F,AT2G16940,AT2G16940,"Splicing factor, CC1-like",0.644869252,0.617071403,0.629982882,0.780239733,0.608131288,0.656058912
5,266816_at,T,F,AT2G44970,AT2G44970,alpha/beta-Hydrolases superfamily protein,0.74093981,0.642471229,0.675890075,0.629139999,0.598763563,0.657440935
5,266924_at,T,F,AT2G45730,AT2G45730,eukaryotic initiation factor 3 gamma subunit family protein,0.847426781,0.67108851,0.621892153,0.687281221,0.523435743,0.670224881
5,266971_at,T,F,AT2G39580,AT2G39580,CONTAINS InterPro DOMAIN/s: Putative zinc-finger domain (InterPro:IPR019607); Has 249 Blast hits to 219 proteins in 85 species: Archae - 0; Bacteria - 144; Metazoa - 29; Fungi - 8; Plants - 50; Viruses - 0; Other Eukaryotes - 18 (source: NCBI BLink).,0.787988899,0.605976975,0.530379139,0.70561557,0.676533051,0.661298727
5,267013_at,T,F,AT2G39180,ATCRR2|CCR2,CRINKLY4 related 2,0.777449763,0.826236163,0.504998012,0.749111906,0.504007019,0.672360573
5,267015_at,T,F,AT2G39340,AT2G39340,SAC3/GANP/Nin1/mts3/eIF-3 p25 family,0.781741321,0.743172485,0.675360184,0.751737734,0.502881733,0.690978691
5,267201_at,T,T,AT2G31010,AT2G31010,Protein kinase superfamily protein,0.599737977,0.673600939,0.504929012,0.596736651,0.577244226,0.590449761
5,267297_at,T,F,AT2G23780,AT2G23780,RING/U-box superfamily protein,0.687803916,0.621412546,0.611750758,0.557486433,0.659216734,0.627534077
4,244905_at,T,F,ATMG00680,ORF122C,hypothetical protein,0.53118069,0.533647929,0.621263433,0.576144883,0.195302843,0.491507956
4,244932_at,T,F,ATCG01060,PSAC,"iron-sulfur cluster binding;electron carriers;4 iron, 4 sulfur cluster binding",0.620282379,0.744020732,0.720480177,0.738508915,0.116618043,0.587982049
4,244933_at,T,F,ATCG01070,NDHE,NADH-ubiquinone/plastoquinone oxidoreductase chain 4L,0.641175427,0.746340691,0.716576084,0.751759827,0.061231598,0.583416725
4,244934_at,T,F,ATCG01080,NDHG,"NADH:ubiquinone/plastoquinone oxidoreductase, chain 6",0.612606097,0.716254088,0.726374529,0.719447387,0.122639933,0.579464407
4,244935_at,T,F,ATCG01090,NDHI,NADPH dehydrogenases,0.669729435,0.799711447,0.705348238,0.785637711,0.028298809,0.597745128
4,244936_at,T,F,ATCG01100,NDHA,NADH dehydrogenase family protein,0.668702081,0.7821662,0.714088833,0.792750913,0.013900046,0.594321615
4,244937_at,T,F,ATCG01110,NDHH,NAD(P)H dehydrogenase subunit H,0.633862673,0.742702987,0.809202983,0.709228242,0.073660452,0.593731468
4,244938_at,T,F,ATCG01120,RPS15,chloroplast ribosomal protein S15,0.627923228,0.765382674,0.803747579,0.677039935,0.099444135,0.59470751
4,244939_at,T,F,ATCG00065,RPS12|RPS12A,ribosomal protein S12A,0.531375798,0.684776747,0.643966763,0.70256038,0.12529978,0.537595894
4,244940_at,F,NA,ATCG01230,RPS12B|RPS12,ribosomal protein S12B,0.53406946,0.6853751,0.599988402,0.71365111,0.062007428,0.5190183
4,244946_at,NA,NA,NA,NA,NA,0.585402115,0.678897461,0.591195698,0.537018763,0.1117372,0.500850247
4,244948_at,T,F,ATMG00140,ORF167,hypothetical protein,0.596212918,0.573772027,0.673140428,0.629967705,0.179419605,0.530502537
4,244953_s_at,F,NA,ATMG00270,NAD6,NADH dehydrogenase 6,0.644376887,0.625910037,0.50818734,0.572696775,0.030896786,0.476413565
4,244960_at,T,F,ATCG01020,RPL32,ribosomal protein L32,0.599988772,0.742258777,0.727345643,0.722098559,0.181867551,0.594711861
4,244961_at,T,F,ATCG01040,YCF5,Cytochrome C assembly protein,0.639695197,0.782293627,0.75231492,0.757751209,0.057806622,0.597972315
4,244962_at,T,F,ATCG01050,NDHD,NADH-Ubiquinone/plastoquinone (complex I) protein,0.667922229,0.790281127,0.68965081,0.784685648,0.021340213,0.590776006
4,244963_at,T,F,ATCG00570,PSBF,photosystem II reaction center protein F,0.64604014,0.761453192,0.678160352,0.772879568,0.050452422,0.581797135
4,244964_at,T,F,ATCG00580,PSBE,photosystem II reaction center protein E,0.645778577,0.764444596,0.728236463,0.76737596,0.094320693,0.600031258
4,244965_at,T,F,ATCG00590,ORF31,electron carriers,0.59305208,0.737292399,0.699588106,0.743271336,0.084572908,0.571555366
4,244966_at,T,F,ATCG00600,PETG,PETG,0.558903073,0.700046174,0.750912687,0.657984528,0.122713137,0.55811192
4,244967_at,T,F,ATCG00630,PSAJ,PSAJ,0.634261601,0.774588418,0.692636101,0.743659629,0.148355162,0.598700182
4,244968_at,T,F,ATCG00640,RPL33,ribosomal protein L33,0.597863524,0.752236918,0.7164496,0.750144257,0.075036988,0.578346258
4,244969_at,T,F,ATCG00650,RPS18,ribosomal protein S18,0.656071969,0.787411891,0.779873152,0.764278259,0.068478494,0.611222753
4,244970_at,T,F,ATCG00660,RPL20,ribosomal protein L20,0.548941261,0.694840626,0.719237531,0.674377618,0.065051595,0.540489726
4,244972_at,T,F,ATCG00680,PSBB,photosystem II reaction center protein B,0.594671276,0.701558005,0.748150354,0.679770726,0.176419597,0.580113992
4,244973_at,T,F,ATCG00690,PSBT|PSBTC,photosystem II reaction center protein T,0.542435378,0.673899601,0.698364718,0.673484446,0.215095356,0.5606559
4,244974_at,T,F,ATCG00700,PSBN,photosystem II reaction center protein N,0.587439863,0.735279658,0.735733233,0.690441586,0.144224116,0.578623691
4,244975_at,T,F,ATCG00710,PSBH,photosystem II reaction center protein H,0.644466665,0.761959282,0.681829615,0.789606927,0.001986521,0.575969802
4,244976_at,T,F,ATCG00720,PETB,photosynthetic electron transfer B,0.633354717,0.753061369,0.650822119,0.769324347,0.012853632,0.563883237
4,244977_at,T,F,ATCG00730,PETD,photosynthetic electron transfer D,0.593050432,0.715733753,0.809968788,0.651367497,0.081611973,0.570346489
4,244978_at,T,F,ATCG00740,RPOA,RNA polymerase subunit alpha,0.762677227,0.818860201,0.727641817,0.873300619,0.088589871,0.654213947
4,244979_at,T,F,ATCG00750,RPS11,ribosomal protein S11,0.743535777,0.805519177,0.802512599,0.826146939,0.031567959,0.64185649
4,244980_at,T,F,ATCG00760,RPL36,ribosomal protein L36,0.709344532,0.797411136,0.751642374,0.830172285,0.036394964,0.624993058
4,244981_at,T,F,ATCG00770,RPS8,ribosomal protein S8,0.758154288,0.814859059,0.79257785,0.834033474,0.045165199,0.648957974
4,244982_at,T,F,ATCG00780,RPL14,ribosomal protein L14,0.699911084,0.786786719,0.790678678,0.815787956,0.054603883,0.629553664
4,244983_at,T,F,ATCG00790,RPL16,ribosomal protein L16,0.575211599,0.711040378,0.693047582,0.74720942,0.00826849,0.546955494
